"","date","trips"
"1","4/1/16",31890.6387290451
"2","4/10/16",18407.8797906052
"3","4/11/16",24577.955914976
"4","4/12/16",23663.8705632174
"5","4/13/16",22292.7425355794
"6","4/14/16",23892.391901157
"7","4/15/16",24349.4345770363
"8","4/16/16",25263.519928795
"9","4/17/16",27091.6906323122
"10","4/18/16",30290.9893634675
"11","4/19/16",29148.3826737692
"12","4/2/16",25034.9985908553
"13","4/20/16",26863.1692943726
"14","4/21/16",27777.2546461312
"15","4/22/16",32119.1600669848
"16","4/23/16",28462.8186599502
"17","4/24/16",26177.6052805536
"18","4/25/16",27091.6906323122
"19","4/26/16",24349.4345770363
"20","4/27/16",24577.955914976
"21","4/28/16",24349.4345770363
"22","4/29/16",23435.3492252777
"23","4/3/16",19093.4438044242
"24","4/30/16",25263.519928795
"25","4/4/16",16808.2304250276
"26","4/5/16",15665.6237353293
"27","4/6/16",17722.3157767862
"28","4/7/16",24120.9132390967
"29","4/8/16",20464.5718320621
"30","4/9/16",17950.8371147259
"31","5/1/16",21835.6998597001
"32","5/10/16",25720.5626046743
"33","5/11/16",28691.3399978899
"34","5/12/16",30976.5533772865
"35","5/13/16",27777.2546461312
"36","5/14/16",29376.9040117088
"37","5/15/16",23892.391901157
"38","5/16/16",24806.4772529157
"39","5/17/16",26406.1266184933
"40","5/18/16",27320.2119702519
"41","5/19/16",28919.8613358295
"42","5/2/16",23892.391901157
"43","5/20/16",29376.9040117088
"44","5/21/16",27320.2119702519
"45","5/22/16",27777.2546461312
"46","5/23/16",30519.5107014071
"47","5/24/16",29833.9466875882
"48","5/25/16",33947.330770502
"49","5/26/16",36232.5441498986
"50","5/27/16",36461.0654878383
"51","5/28/16",37146.6295016573
"52","5/29/16",35775.5014740193
"53","5/3/16",24349.4345770363
"54","5/30/16",34175.8521084417
"55","5/31/16",35546.9801360796
"56","5/4/16",22749.7852114587
"57","5/5/16",23435.3492252777
"58","5/6/16",23206.827887338
"59","5/7/16",24577.955914976
"60","5/8/16",26177.6052805536
"61","5/9/16",28234.2973220105
"62","6/1/16",33947.330770502
"63","6/10/16",30519.5107014071
"64","6/11/16",33490.2880946227
"65","6/12/16",33033.2454187434
"66","6/13/16",29833.9466875882
"67","6/14/16",31205.0747152261
"68","6/15/16",33490.2880946227
"69","6/16/16",31662.1173911054
"70","6/17/16",32119.1600669848
"71","6/18/16",33718.8094325624
"72","6/19/16",35089.9374602003
"73","6/2/16",31890.6387290451
"74","6/20/16",33718.8094325624
"75","6/21/16",36232.5441498986
"76","6/22/16",35089.9374602003
"77","6/23/16",34632.894784321
"78","6/24/16",34404.3734463814
"79","6/25/16",34175.8521084417
"80","6/26/16",35089.9374602003
